rank,album,like
1,2,"85,731"
2,밤양갱,"120,817"
3,TWS 1st Mini Album ‘Sparkling Blue’,"97,110"
4,EASY,"59,778"
5,The Winning,"149,611"
6,비의 랩소디,"62,152"
7,To. X - The 5th Mini Album,"136,955"
8,천상연 (웹툰 '선녀외전' X 이창섭 (LEE CHANGSUB)),"29,815"
9,EASY,"29,553"
10,The Winning,"44,864"
11,그대만 있다면 (여름날 우리 X 너드커넥션 (Nerd Connection)),"90,948"
12,Love 119,"89,902"
13,Perfect Night,"111,864"
14,Every DAY6 February,"288,482"
15,에피소드,"64,065"
16,1집 Alone,"167,375"
17,신사와 아가씨 OST Part.2,"211,338"
18,The Book of Us : Gravity,"251,370"
19,Drama - The 4th Mini Album,"83,215"
20,인사,"103,295"
21,ASTERUM : 134-1,"34,528"
22,Seven (feat. Latto) - Clean Ver.,"206,716"
23,모래 알갱이,"58,742"
24,웰컴투 삼달리 OST Part.3,"33,472"
25,I've IVE,"211,750"
26,IM HERO,"103,801"
27,2,"32,099"
28,The 4th Mini Album 'VERSUS',"49,801"
29,Do or Die,"41,205"
30,The Winning,"37,653"
31,IM HERO,"84,527"
32,Love Lee,"120,010"
33,사랑인가 봐 (사내맞선 OST 스페셜 트랙),"204,619"
34,별에서 온 그대 OST Part.7,"293,937"
35,2,"30,920"
36,내일은 미스터트롯 우승자 특전곡,"174,045"
37,IM HERO,"73,415"
38,사막에서 꽃을 피우듯,"83,383"
39,Polaroid,"60,364"
40,ASTERUM : 134-1,"24,923"
41,ASTERUM : 134-1,"24,746"
42,Fourever,"24,606"
43,Polaroid,"54,330"
44,IM HERO,"59,190"
45,Get A Guitar,"87,462"
46,ASTERUM : 134-1,"23,707"
47,NewJeans 1st EP 'New Jeans',"286,993"
48,IM HERO,"54,315"
49,YOU NEVER WALK ALONE,"560,146"
50,I'VE MINE,"67,533"
